Year,Gini
1947,0.376
1948,0.371
1949,0.37799999999999995
1950,0.379
1951,0.363
1952,0.368
1953,0.359
1954,0.371
1955,0.363
1956,0.358
1957,0.35100000000000003
1958,0.354
1959,0.361
1960,0.364
1961,0.374
1962,0.36200000000000004
1963,0.36200000000000004
1964,0.361
1965,0.35600000000000004
1966,0.349
1967,0.358
1968,0.348
1969,0.349
1970,0.353
1971,0.355
1972,0.359
1973,0.35600000000000004
1974,0.355
1975,0.35700000000000004
1976,0.358
1977,0.363
1978,0.363
1979,0.365
1980,0.365
1981,0.369
1982,0.38
1983,0.382
1984,0.38299999999999995
1985,0.389
1986,0.392
1987,0.39299999999999996
1988,0.395
1989,0.401
1990,0.396
1991,0.397
1992,0.40399999999999997
1993,0.429
1994,0.426
1995,0.42100000000000004
1996,0.425
1997,0.429
1998,0.43
1999,0.429
2000,0.433
2001,0.435
2002,0.434
2003,0.436
2004,0.43799999999999994
2005,0.44
2006,0.444
2007,0.43200000000000005
2008,0.43799999999999994
2009,0.44299999999999995
2010,0.44
2011,0.45
2012,0.451
2013,0.455
2014,0.452
2015,0.44799999999999995
2016,0.452
