Year,Income bracket,Tax Rate
1947,0.0,20.0
1947,22082.427536231884,22.0
1947,44164.85507246377,26.0
1947,66247.28260869565,30.0
1947,88329.71014492754,34.0
1947,110412.13768115944,38.0
1947,132494.5652173913,43.0
1947,154576.99275362317,47.0
1947,176659.42028985507,50.0
1947,198741.84782608697,53.0
1947,220824.27536231888,56.0
1947,242906.70289855075,59.0
1947,287071.55797101447,62.0
1947,353318.84057971014,65.0
1947,419566.1231884058,69.0
1947,485813.4057971015,72.0
1947,552060.6884057971,75.0
1947,662472.8260869565,78.0
1947,772884.963768116,81.0
1947,883297.1014492755,84.0
1947,993709.2391304348,87.0
1947,1104121.3768115942,89.0
1947,1656182.0652173914,90.0
1947,2208242.7536231885,91.0
1948,0.0,20.0
1948,20189.648033126294,22.0
1948,40379.29606625259,26.0
1948,60568.94409937888,30.0
1948,80758.59213250517,34.0
1948,100948.24016563148,38.0
1948,121137.88819875776,43.0
1948,141327.53623188406,47.0
1948,161517.18426501035,50.0
1948,181706.83229813664,53.0
1948,201896.48033126295,56.0
1948,222086.12836438924,59.0
1948,262465.4244306418,62.0
1948,323034.3685300207,65.0
1948,383603.3126293996,69.0
1948,444172.2567287785,72.0
1948,504741.2008281574,75.0
1948,605689.4409937888,78.0
1948,706637.6811594203,81.0
1948,807585.9213250518,84.0
1948,908534.1614906833,87.0
1948,1009482.4016563148,89.0
1948,1514223.602484472,90.0
1948,2018964.8033126297,91.0
1949,0.0,20.0
1949,20383.779264214045,22.0
1949,40767.55852842809,26.0
1949,61151.33779264214,30.0
1949,81535.11705685618,34.0
1949,101918.89632107022,38.0
1949,122302.67558528428,43.0
1949,142686.45484949832,47.0
1949,163070.23411371236,50.0
1949,183454.0133779264,53.0
1949,203837.79264214044,56.0
1949,224221.57190635448,59.0
1949,264989.13043478254,62.0
1949,326140.4682274247,65.0
1949,387291.80602006684,69.0
1949,448443.14381270896,72.0
1949,509594.48160535115,75.0
1949,611513.3779264214,78.0
1949,713432.2742474915,81.0
1949,815351.1705685618,84.0
1949,917270.066889632,87.0
1949,1019188.9632107023,89.0
1949,1528783.4448160531,90.0
1949,2038377.9264214046,91.0
1950,0.0,20.0
1950,20417.9229480737,22.0
1950,40835.8458961474,26.0
1950,61253.7688442211,30.0
1950,81671.6917922948,34.0
1950,102089.61474036852,38.0
1950,122507.5376884422,43.0
1950,142925.46063651593,47.0
1950,163343.3835845896,50.0
1950,183761.30653266332,53.0
1950,204179.22948073703,56.0
1950,224597.15242881072,59.0
1950,265432.9983249581,62.0
1950,326686.7671691792,65.0
1950,387940.53601340036,69.0
1950,449194.30485762144,72.0
1950,510448.0737018426,75.0
1950,612537.6884422111,78.0
1950,714627.3031825796,81.0
1950,816716.9179229481,84.0
1950,918806.5326633166,87.0
1950,1020896.1474036851,89.0
1950,1531344.2211055278,90.0
1950,2041792.2948073703,91.0
1951,0.0,20.4
1951,18803.70227535673,22.4
1951,37607.40455071346,27.0
1951,56411.10682607019,30.0
1951,75214.80910142692,35.0
1951,94018.51137678364,39.0
1951,112822.21365214037,43.0
1951,131625.91592749712,48.0
1951,150429.61820285383,51.0
1951,169233.32047821057,54.0
1951,188037.0227535673,57.0
1951,206840.725028924,60.0
1951,244448.1295796375,63.0
1951,300859.23640570766,66.0
1951,357270.34323177784,69.0
1951,413681.450057848,73.0
1951,470092.55688391824,75.0
1951,564111.0682607018,78.0
1951,658129.5796374856,82.0
1951,752148.0910142692,84.0
1951,846166.6023910529,87.0
1951,940185.1137678365,89.0
1951,1410277.6706517548,90.0
1951,1880370.227535673,91.0
