Date,Dividends
2019-12-05,0.18
2003-06-04,0.64
2006-11-29,0.56
2007-05-30,0.56
2002-12-04,0.64
2007-09-05,0.64
2011-03-02,0.01
2011-08-31,0.01
2020-03-05,0.18
2003-09-03,0.8
2007-02-28,0.56
2003-03-05,0.64
2002-02-27,0.6
2016-06-01,0.05
2014-12-03,0.05
2008-06-04,0.64
2010-12-01,0.01
2012-05-30,0.01
2016-08-31,0.075
2012-09-05,0.01
2015-03-04,0.05
2019-02-28,0.15
2019-06-06,0.15
2003-12-03,0.8
2006-05-31,0.5
2002-06-05,0.6
2008-03-05,0.64
2010-09-01,0.01
2012-02-29,0.01
2019-09-05,0.18
2004-03-03,0.8
2006-08-30,0.56
2002-09-04,0.6
2015-06-03,0.05
2015-12-02,0.05
2007-12-05,0.64
2011-06-01,0.01
2011-11-30,0.01
2015-09-02,0.05
2016-03-02,0.05
2004-12-01,0.45
2005-06-01,0.45
2009-03-04,0.01
2009-09-02,0.01
2013-02-27,0.01
2017-11-30,0.12
2018-09-06,0.15
2001-05-30,0.56
2000-11-29,0.56
2005-03-02,0.45
2005-08-31,0.5
2001-09-05,0.56
2000-03-01,0.5
2016-11-30,0.075
2012-12-05,0.01
2018-05-31,0.12
2008-12-03,0.32
2010-06-02,0.01
2017-03-01,0.075
2014-09-03,0.05
2018-12-06,0.15
2004-06-02,0.8
2005-11-30,0.5
2001-12-05,0.6
2008-09-03,0.64
2010-03-03,0.01
2000-05-31,0.5
2004-09-01,0.45
2006-03-01,0.5
2018-03-01,0.12
2000-08-30,0.5
2001-02-28,0.56
2017-05-31,0.075
2013-06-05,0.01
2013-12-04,0.01
2014-06-20,0.01
2009-06-03,0.01
2009-12-02,0.01
2017-08-30,0.12
2013-09-04,0.01
2014-03-05,0.01
