Date,Dividends
2005-11-03,0.44
2014-01-30,0.01
2014-07-31,0.01
2018-11-02,0.45
2011-05-25,0.01
2006-04-27,0.49
2001-11-01,0.16
2002-05-02,0.18
2006-08-03,0.49
2006-02-02,0.49
2014-10-30,0.01
2001-02-01,0.14
2002-08-01,0.18
2015-05-07,0.05
2019-05-03,0.45
2018-02-02,0.32
2019-08-02,0.51
2006-11-02,0.49
2013-08-01,0.01
2015-01-29,0.01
2017-11-03,0.32
2005-04-28,0.44
2001-05-03,0.14
2002-10-31,0.18
2007-02-01,0.54
2013-10-31,0.01
2005-07-28,0.44
2001-08-02,0.16
2002-01-31,0.17072
2018-05-04,0.32
2014-05-01,0.01
2002-08-21,24.15
2018-08-03,0.45
2019-02-01,0.45
2008-05-01,0.32
2012-02-02,0.01
2012-08-02,0.01
2016-01-28,0.05
2016-07-28,0.16
2016-11-03,0.16
2003-10-30,0.35
2004-04-29,0.4
2008-01-31,0.32
2008-07-31,0.32
2012-11-01,0.01
2000-04-27,0.16
2004-07-29,0.4
2000-08-03,0.18626
2003-01-30,0.2
2008-10-30,0.16
2004-10-28,0.4
2017-04-27,0.16
2013-05-02,0.01
2017-08-03,0.32
2020-01-31,0.51
2007-05-03,0.54
2013-01-31,0.01
2015-07-30,0.05
2019-11-01,0.51
2000-11-02,0.14
2003-05-01,0.2
2007-08-02,0.54
2009-01-29,0.01
2011-07-28,0.01
2005-02-03,0.44
2011-11-03,0.01
2015-10-29,0.05
2000-02-03,0.16
2003-07-31,0.35
2004-01-29,0.4
2007-11-01,0.54
2012-05-03,0.01
2016-04-28,0.05
2017-02-02,0.16
