Date,Dividends
2013-04-01,0.0975
2009-04-06,0.034
2009-07-06,0.034
2013-07-01,0.0975
2009-01-05,0.0315
2017-10-03,0.158
2016-12-30,0.1375
2017-06-30,0.158
2009-10-05,0.034
2013-09-30,0.0975
2011-12-30,0.0565
2018-04-03,0.19
2012-04-02,0.0815
2018-01-02,0.158
2008-03-31,0.0315
2010-01-04,0.0475
2013-12-30,0.0975
2008-07-07,0.0315
2016-10-03,0.1375
2016-07-01,0.1375
2012-10-01,0.0815
2008-10-06,0.0315
2012-06-29,0.0815
2012-12-28,0.0815
2017-04-03,0.158
2011-04-04,0.0565
2015-03-30,0.125
2015-01-05,0.1125
2018-12-31,0.19
2019-07-02,0.21
2011-01-03,0.0475
2015-06-29,0.125
2015-10-05,0.125
2019-10-01,0.21
2011-10-03,0.0565
2011-07-01,0.0565
2016-04-04,0.1375
2020-03-31,0.23
2010-04-05,0.0475
2014-03-31,0.1125
2016-01-04,0.125
2018-07-02,0.19
2014-06-30,0.1125
2018-10-02,0.19
2010-10-04,0.0475
2014-09-29,0.1125
2010-07-02,0.0475
2019-04-02,0.21
2020-01-07,0.21
