Date,Dividends
2002-12-03,0.06
2006-11-28,0.225
2011-08-30,0.25
2003-03-11,0.06
2007-03-06,0.225
2003-09-02,0.07
2007-08-28,0.225
2008-03-11,0.225
2019-12-04,1.36
2014-12-02,0.47
2016-05-31,0.69
2018-11-28,1.03
2012-05-29,0.29
2004-06-08,0.085
2008-06-03,0.225
2010-11-30,0.23625
2016-08-30,0.69
2000-06-13,0.04
2011-03-08,0.25
2003-12-02,0.07
2007-11-27,0.225
2004-03-09,0.07
2006-09-05,0.15
2010-08-31,0.23625
2015-03-10,0.59
2002-09-03,0.05
2000-03-07,0.04
2011-06-14,0.25
2019-06-05,1.36
2020-03-11,1.5
2015-06-02,0.59
2015-12-01,0.59
2016-03-08,0.69
2019-09-04,1.36
2011-11-29,0.29
2003-06-10,0.06
2007-06-05,0.225
2015-09-01,0.59
2012-03-06,0.29
2004-11-30,0.085
2005-03-08,0.1
2009-09-01,0.225
2014-03-11,0.47
2000-11-28,0.04
2001-03-06,0.04
2005-08-30,0.1
2019-03-13,1.36
2001-08-28,0.04
2014-06-03,0.47
2016-11-29,0.69
2017-03-07,0.89
2018-05-30,1.03
2012-11-27,0.29
2002-06-11,0.05
2006-06-06,0.15
2008-12-02,0.225
2010-06-01,0.23625
2014-09-02,0.47
2018-08-29,1.03
2005-11-29,0.1
2012-08-28,0.29
2006-03-07,0.15
2008-09-02,0.225
2002-03-12,0.05
2013-03-12,0.39
2001-11-27,0.05
2001-11-28,0.05
2004-08-31,0.085
2009-03-10,0.225
2000-08-29,0.04
2013-06-04,0.39
2013-12-03,0.39
2017-05-30,0.89
2009-06-09,0.225
2017-11-29,0.89
2018-03-07,1.03
2005-06-07,0.1
2009-12-01,0.225
2013-09-03,0.39
2017-08-29,0.89
2001-06-12,0.04
2010-03-09,0.23625
