Date,Dividends
2006-05-03,0.1
2010-02-03,0.158
2010-08-04,0.158
2005-11-03,0.08
2019-05-06,0.315
2006-08-03,0.1
2010-11-03,0.158
2018-11-06,0.3
2002-05-03,0.02
2006-02-03,0.1
2001-11-05,0.02
2015-05-05,0.24
2013-11-05,0.225
2018-02-06,0.3
2019-08-06,0.315
2001-02-05,0.02
2002-08-05,0.02
2009-11-04,0.14
2011-05-04,0.181
2014-02-05,0.225
2015-08-05,0.24
2005-05-04,0.08
2009-08-05,0.14
2011-02-03,0.181
2006-11-03,0.1
2013-08-05,0.225
2005-08-03,0.08
2001-05-03,0.02
2003-02-05,0.02
2019-11-06,0.315
2002-11-05,0.02
2007-02-05,0.113
2018-08-06,0.3
2001-08-03,0.02
2014-11-05,0.225
2019-02-06,0.315
2018-05-04,0.3
2002-02-05,0.02
2014-08-05,0.225
2010-05-05,0.158
2015-02-04,0.24
2014-05-05,0.225
2004-05-05,0.04
2008-02-05,0.128
2008-08-05,0.14
2003-11-05,0.02
2012-02-03,0.21
2012-08-03,0.225
2016-11-03,0.26
2007-11-05,0.113
2008-05-05,0.14
2000-05-03,0.015
2004-08-04,0.04
2004-02-04,0.04
2000-08-03,0.02
2017-05-03,0.273
2015-11-04,0.24
2020-02-06,0.33
2009-05-05,0.14
2016-02-03,0.26
2013-05-03,0.225
2017-08-03,0.273
2004-11-03,0.04
2007-05-03,0.113
2009-02-04,0.14
2011-08-03,0.21
2017-11-06,0.273
2000-11-03,0.02
2005-02-03,0.08
2011-11-03,0.21
2007-08-03,0.113
2003-05-05,0.02
2000-02-03,0.015
2016-05-04,0.26
2003-08-05,0.02
2008-11-05,0.14
2013-02-05,0.225
2016-08-03,0.26
2012-05-03,0.21
2017-02-03,0.26
2012-11-05,0.225
