Date,Dividends
2002-02-14,0.18
2002-08-16,0.205
2015-05-21,0.75
2011-05-26,0.57
2010-11-26,0.54
2014-11-21,0.7
2007-05-24,0.415
2006-11-24,0.375
2011-02-25,0.54
2011-08-26,0.57
2015-02-20,0.7
2015-08-21,0.75
2018-11-26,0.9
2005-11-18,0.33
2007-08-24,0.415
2010-02-19,0.49
2006-02-24,0.33
2019-02-25,0.9
2003-05-16,0.24
2001-11-16,0.18
2003-02-13,0.205
2001-08-17,0.18
2014-05-22,0.7
2010-05-27,0.54
2011-11-25,0.57
2015-11-20,0.75
2006-05-25,0.375
2007-11-23,0.415
2010-08-27,0.54
2012-02-24,0.57
2014-08-22,0.7
2016-02-19,0.75
2019-11-25,0.95
2006-08-25,0.375
2007-02-23,0.375
2019-08-26,0.95
2020-02-24,0.95
2002-05-17,0.205
2002-11-15,0.205
2019-05-24,0.95
2004-02-12,0.24
2004-08-13,0.285
2000-08-18,0.32
2013-05-23,0.66
2012-11-23,0.61
2016-11-18,0.8
2000-02-11,0.28
2009-05-21,0.49
2008-11-21,0.46
2013-02-22,0.61
2013-08-23,0.66
2018-05-25,0.9
2008-02-22,0.415
2009-08-21,0.49
2017-02-24,0.8
2018-08-27,0.9
2003-11-14,0.24
2005-05-13,0.33
2001-05-18,0.36
2005-08-19,0.33
2001-02-15,0.32
2003-08-15,0.24
2005-02-11,0.285
2012-05-24,0.61
2013-11-22,0.66
2016-05-20,0.8
2008-05-22,0.46
2009-11-20,0.49
2012-08-24,0.61
2014-02-21,0.66
2016-08-19,0.8
2017-11-27,0.84
2008-08-22,0.46
2009-02-20,0.46
2017-08-25,0.84
2004-05-14,0.285
2004-11-12,0.285
2018-02-26,0.84
2000-05-19,0.32
2000-11-17,0.32
2017-05-25,0.84
