Date,Dividends
2017-07-03,0.5
2000-10-04,0.32
2013-04-03,0.3
2004-04-02,0.34
2017-01-04,0.48
2005-04-04,0.34
2013-07-02,0.38
2009-04-02,0.05
2013-01-02,0.3
2017-10-05,0.56
2001-04-04,0.34
2008-01-02,0.38
2009-07-01,0.05
2013-10-02,0.38
2001-07-03,0.34
2000-01-04,0.40995
2005-10-04,0.34
2004-01-02,0.34
2005-07-01,0.34
2009-10-02,0.05
2018-04-05,0.56
2012-04-03,0.3
2003-10-02,0.34
2018-01-04,0.56
2010-01-04,0.05
2012-07-03,0.3
2008-04-02,0.38
2016-10-04,0.48
2014-01-02,0.38
2016-07-01,0.48
2000-04-04,0.48
2005-01-04,0.34
2008-07-01,0.38
2012-10-03,0.3
2009-01-02,0.38
2000-07-03,0.32
2004-10-04,0.34
2001-01-03,0.32
2017-04-04,0.5
2004-07-01,0.34
2008-10-02,0.38
2017-04-05,0.5
2011-04-04,0.25
2002-10-02,0.34
2002-04-03,0.34
2015-04-01,0.4
2019-07-03,0.8
2019-01-03,0.8
2007-04-03,0.34
2011-01-04,0.05
2015-07-01,0.44
2019-10-03,0.9
2015-01-02,0.4
2007-07-03,0.38
2006-01-04,0.34
2011-10-04,0.25
2011-07-01,0.25
2015-10-02,0.44
2003-07-01,0.34
2016-04-04,0.44
2002-01-02,0.34
2007-10-03,0.38
2020-04-03,0.9
2003-04-02,0.34
2016-01-04,0.44
2001-10-03,0.34
2014-04-02,0.38
2018-07-05,0.56
2020-01-03,0.9
2006-04-04,0.34
2014-07-01,0.4
2010-04-01,0.05
2012-01-04,0.25
2018-10-04,0.8
2006-07-03,0.34
2010-10-04,0.05
2007-01-03,0.34
2010-07-01,0.05
2014-10-02,0.4
2002-07-02,0.34
2006-10-04,0.34
2003-01-02,0.34
2019-04-04,0.8
