Date,Dividends
2012-06-13,0.51
2006-11-29,0.31
2016-06-13,0.35
2003-03-12,0.22
2012-03-13,0.51
2012-09-12,0.255
2019-11-29,0.4
2016-03-11,0.35
2002-11-26,0.2
2008-03-12,0.38
2016-09-13,0.35
2008-09-11,0.38
2011-03-11,0.47
2004-06-14,0.25
2008-06-11,0.38
2018-11-29,0.39
2013-03-13,0.28
2010-11-29,0.44
2004-09-13,0.25
2014-11-26,0.305
2000-06-13,0.17
2017-03-13,0.37
2015-06-11,0.33
2019-09-13,0.4
2000-03-13,0.17
2007-11-28,0.34
2002-09-11,0.2
2015-09-11,0.33
2003-11-26,0.22
2007-03-13,0.34
2011-06-13,0.47
2015-11-27,0.33
2020-03-13,0.41
2007-06-13,0.34
2011-09-13,0.47
2003-09-11,0.22
2004-03-11,0.25
2011-11-29,0.47
2003-06-11,0.22
2007-09-12,0.34
2014-06-12,0.305
2018-09-13,0.39
2004-11-29,0.25
2001-09-12,0.18
2008-11-26,0.38
2001-03-13,0.18
2017-11-30,0.37
2014-09-11,0.305
2010-06-11,0.44
2000-11-29,0.17
2006-09-13,0.31
2019-03-14,0.4
2016-11-29,0.35
2006-06-13,0.31
2010-09-13,0.44
2005-03-11,0.28
2015-03-12,0.33
2019-06-13,0.4
2012-11-28,0.255
2002-06-12,0.2
2013-06-12,0.28
2017-09-14,0.37
2005-11-29,0.28
2000-09-13,0.17
2002-03-13,0.2
2009-11-27,0.41
2017-06-13,0.37
2009-06-11,0.41
2013-09-12,0.28
2001-11-28,0.18
2009-03-11,0.41
2010-03-11,0.44
2018-03-14,0.39
2009-09-11,0.41
2005-06-13,0.28
2014-03-12,0.305
2018-06-14,0.39
2001-09-17,0.09
2006-03-13,0.31
2005-09-13,0.28
2013-11-27,0.28
2001-06-13,0.18
