Date,Dividends
2014-07-30,0.26
2006-08-09,0.24
2010-02-03,0.18
2010-08-04,0.18
2002-02-13,0.13
2002-08-14,0.13
2006-02-08,0.24
2010-11-04,0.18
2018-11-08,0.34
2019-05-09,0.36
2011-05-11,0.2
2013-11-06,0.24
2015-05-06,0.28
2005-11-08,0.19
2007-05-09,0.29
2009-11-04,0.16
2001-11-14,0.11
2003-05-14,0.15
2014-02-05,0.26
2015-08-05,0.28
2019-08-01,0.36
2018-02-01,0.34
2007-02-07,0.29
2009-08-05,0.16
2011-02-02,0.2
2013-07-31,0.24
2001-08-15,0.11
2005-08-10,0.19
2018-05-10,0.34
2019-11-07,0.36
2014-05-07,0.26
2014-11-05,0.26
2006-05-10,0.24
2006-11-08,0.24
2010-05-05,0.18
2002-05-15,0.13
2002-11-13,0.13
2015-02-04,0.28
2018-08-02,0.34
2019-01-31,0.36
2000-05-09,0.09
2008-02-06,0.32
2008-08-06,0.32
2012-02-01,0.22
2012-08-01,0.22
2000-02-16,0.09
2000-08-16,0.09
2004-02-11,0.17
2004-08-11,0.17
2016-11-08,0.3
2017-05-10,0.32
2003-01-15,0.15
2011-11-08,0.2
2013-05-08,0.24
2015-11-04,0.28
2007-11-07,0.29
2009-05-06,0.16
2017-08-02,0.32
2001-05-16,0.11
2003-11-12,0.15
2005-05-11,0.19
2016-02-03,0.3
2020-01-30,0.38
2007-08-08,0.29
2009-02-04,0.32
2011-08-03,0.2
2013-01-30,0.24
2001-02-14,0.11
2003-08-13,0.15
2005-02-09,0.19
2016-05-11,0.3
2017-11-09,0.32
2012-05-09,0.22
2012-11-07,0.22
2004-11-09,0.17
2008-05-07,0.32
2008-11-05,0.32
2016-08-03,0.3
2017-02-01,0.32
2000-11-15,0.09
2004-05-12,0.119
