Date,Dividends
2013-07-08,0.45
2009-04-07,0.41
2000-10-05,0.2537
2013-01-08,0.45
2017-07-06,0.49
2017-01-06,0.49
2005-04-06,0.3225
2009-01-07,0.41
2009-07-08,0.41
2013-10-08,0.45
2017-10-06,0.49
2005-07-06,0.3225
2018-04-09,0.5
2004-01-07,0.3125
2009-10-07,0.41
2001-04-06,0.2563
2005-10-05,0.3225
2014-04-08,0.46
2018-07-09,0.5
2000-01-06,0.2438
2001-07-06,0.2563
2008-04-08,0.4
2012-04-05,0.44
2014-01-08,0.46
2016-07-06,0.48
2004-04-06,0.3125
2008-07-08,0.4
2010-01-06,0.42
2016-10-05,0.48
2012-07-06,0.44
2001-01-08,0.2538
2004-07-07,0.3125
2000-04-06,0.2538
2008-10-08,0.4
2005-01-06,0.3225
2012-10-05,0.44
2013-04-08,0.45
2004-10-06,0.3125
2000-07-06,0.2538
2018-01-09,0.5
2017-04-06,0.49
2011-04-06,0.43
2015-01-07,0.47
2015-07-08,0.47
2019-10-09,0.51
2003-04-08,0.2825
2007-01-08,0.355
2007-04-05,0.355
2011-07-06,0.43
2011-01-06,0.43
2015-10-07,0.47
2003-07-08,0.2825
2002-01-08,0.2563
2011-10-05,0.43
2006-01-06,0.3325
2007-07-06,0.355
2003-10-08,0.2825
2016-04-06,0.48
2007-10-05,0.355
2019-01-09,0.51
2014-07-08,0.46
2010-04-07,0.42
2018-10-09,0.5
2001-10-05,0.2563
2016-01-06,0.48
2002-04-08,0.27
2008-01-08,0.4
2010-07-07,0.42
2006-04-06,0.3325
2014-10-08,0.46
2012-01-06,0.44
2002-07-08,0.27
2003-01-08,0.27
2010-10-06,0.42
2019-04-09,0.51
2006-07-06,0.3325
2002-10-08,0.27
2019-07-09,0.51
2006-10-05,0.3325
2015-04-08,0.47
2020-01-09,0.52
