Date,Dividends
2004-09-27,0.4502
2006-03-28,0.94283
2006-09-27,0.85984
2008-09-25,1.25679
2017-03-29,1.9665
2000-03-28,0.2078
2000-09-26,0.1679
2002-03-26,0.2123
2011-03-28,0.747011
2002-09-25,0.2176
2013-03-26,1.26263
2004-03-26,0.4291
2015-03-27,2.01191
2015-09-28,1.628
2007-03-28,1.05195
2009-03-26,0.725538
2017-09-28,1.79746
2019-09-27,1.82993
2009-09-27,0.576089
2011-09-27,0.511967
2013-09-25,1.17803
2005-03-28,0.4803
2005-09-27,0.725
2016-03-28,2.01508
2007-09-26,1.1965
2016-03-29,2.01508
2018-03-28,2.18881
2009-09-25,0.576
2001-03-27,0.1905
2001-09-25,0.1776
2010-03-28,0.700521
2003-03-26,0.3
2012-03-27,0.700189
2003-09-25,0.3281
2014-03-26,1.95561
2008-03-26,1.449
2016-09-28,1.77152
2010-03-26,0.701
2018-09-27,1.75848
2010-09-27,0.595755
2012-09-25,0.678501
2014-09-25,1.26316
