Date,Dividends
2018-11-01,0.4487
2007-05-23,0.6357
2019-02-14,0.4422
2011-05-11,0.3289
2013-11-06,0.3678
2019-05-02,0.4422
2005-11-16,0.2655
2019-08-08,0.4585
2001-11-14,0.1513
2003-05-14,0.3866
2010-02-10,0.2718
2011-08-10,0.3188
2014-02-05,0.3654
2015-08-05,0.3282
2002-11-06,0.1804
2017-11-02,0.4217
2020-02-20,0.4517
2000-04-20,0.3043
2010-11-09,0.2916
2010-05-12,0.2764
2014-05-07,0.3888
2014-11-05,0.3637
2006-05-17,0.5243
2018-05-03,0.4789
2006-11-08,0.2983
2002-05-15,0.3207
2010-08-11,0.275
2011-02-09,0.2861
2014-08-06,0.3792
2015-02-04,0.3303
2018-08-02,0.4531
2001-04-25,0.2815
2003-11-05,0.2315
2016-10-26,0.3546
2009-05-20,0.6097
2011-11-08,0.3066
2017-05-03,0.383
2013-05-08,0.3494
2005-05-18,0.5366
2012-02-15,0.2965
2007-11-07,0.3525
2017-08-02,0.414
2013-08-07,0.3545
2016-02-03,0.3296
2004-11-03,0.2586
2019-10-31,0.4516
2015-10-28,0.3435
2008-05-21,0.6684
2009-11-18,0.395
2018-02-15,0.4452
2015-04-22,0.319
2012-05-09,0.3198
2012-11-07,0.316
2004-05-19,0.4694
2017-02-08,0.3439
2016-04-27,0.3648
2008-11-05,0.3301
2016-08-03,0.3531
2000-11-15,0.1421
2012-08-08,0.2938
2013-02-06,0.3237
