Date,Dividends
2005-11-02,0.52
2006-05-03,0.52
2001-11-07,0.26
2002-05-08,0.28
2010-02-03,0.05
2010-08-04,0.05
2006-02-01,0.52
2006-08-02,0.56
2002-08-07,0.28
2010-11-03,0.05
2018-11-08,0.43
2019-05-09,0.45
2001-01-31,0.24
2013-11-06,0.3
2015-05-06,0.375
2019-08-08,0.51
2009-11-04,0.05
2011-05-04,0.12
2014-02-05,0.3
2015-08-05,0.375
2018-02-01,0.39
2005-05-04,0.48
2006-11-01,0.28
2002-11-06,0.28
2009-08-05,0.05
2011-02-02,0.05
2017-11-02,0.39
2001-05-02,0.24
2005-08-03,0.52
2007-01-31,0.28
2001-08-08,0.26
2003-02-05,0.3
2019-11-07,0.51
2002-01-30,0.26
2014-05-07,0.35
2014-11-05,0.35
2012-03-22,0.1
2018-05-03,0.39
2018-08-09,0.43
2010-05-05,0.05
2014-08-06,0.35
2015-02-04,0.35
2019-01-31,0.45
2004-05-05,0.45
2003-11-05,0.45
2008-02-06,0.31
2008-08-06,0.34
2012-02-01,0.12
2016-11-02,0.38
2000-05-03,0.22
2004-08-04,0.48
2004-02-04,0.45
2000-08-02,0.22
2017-05-03,0.38
2013-05-08,0.3
2015-11-04,0.375
2011-03-24,0.07
2020-02-06,0.51
2007-11-07,0.31
2009-05-06,0.05
2017-08-02,0.39
2013-08-07,0.3
2016-02-03,0.375
2004-11-03,0.48
2007-05-02,0.28
2003-05-07,0.3
2007-08-08,0.31
2009-02-04,0.34
2011-08-03,0.12
2013-01-30,0.25
2000-11-01,0.24
2005-02-02,0.48
2003-08-06,0.45
2011-11-02,0.12
2000-02-02,0.22
2016-05-04,0.38
2012-11-07,0.22
2008-05-07,0.31
2008-11-05,0.34
2012-05-02,0.22
2016-08-03,0.38
2017-02-01,0.38
2012-08-08,0.22
